titre,date,presentateurs,chaines,description,slug,catégiorie,exclu play,nouveau
Vu à la Télé - les 10 ans volume 2 ,Le 5 Janvier à 19h50,,"tvi,play","Cette année, Vu à la télé fête ses 10 ans. Depuis 10 ans, nos canapés en ont commenté des programmes, mais ils vous ont aussi fait entrer dans leur foyer en toute intimité. 
Pour marquer le coup, nos accros de la zapette vont se retrouver le temps de deux soirées exceptionnelles pour se remémorer ensemble les moments forts de l'année 2024, mais aussi de nombreux souvenirs qui ont marqué 10 ans d'émission. Couples, familles ou amis, ils vous ont touché ou même fait rire. Et si depuis 10 ans certains canapés restent fidèles au poste, d'autres iconiques pourraient bien revenir pour marquer cet anniversaire. 
",x,divertissement,,
All I want for Christmas ,Du 11 décembre au 25 décembre ,"Maria del Rio, Olivier Arnould",contact,"En prélude, la nouvelle version de All I Want For Xmas de Maria del Carey et Olivier Bublé.

Le titre sera diffusé dans le Good Morning mais également dans d’autres émissions, jusqu’à Noel.",x,radio-contact,,
"Luca ""spéciale Noël"" ",Le 24 décembre de 19h à minuit ,Luca Correa,contact,"Luca invite 10 auditeurs à passer le réveillon de Noel en studio.
Au programme : ambiance Noel, cadeaux, apéro dinatoire, …",luca,radio-contact,,
Stop ou encore Noël ,Le 25 décembre de 10h à 13h ,Jean-Mi Godfuron,bel,C’est vous qui prenez les commandes de la programmation musicale de bel RTL. Jean-Mi vous propose un artiste et vous choisissez de poursuivre ou d’interrompre l’écoute de ses titres. Envoyez STOP ou ENCORE par SMS au 6679 pour décider de la musique de votre radio !,jean,votre-soiree-de-noel,,
La route des vacances ,Le 26 décembre de 10h à 13h,"Bérénice,Tom Bourgueil",bel,"La Route des Vacances revient sur Bel RTL, cette fois pour vous accompagner pendant les fêtes de Noël ! Animée par Bérénice et Tom Bourgueil, l'émission vous plonge dans une ambiance chaleureuse et festive, avec des musiques de saison, des échanges joyeux et des anecdotes de Noël. Chaque épisode est une véritable parenthèse de convivialité pour égayer vos trajets, avec des invités surprises, des conseils pratiques pour profiter des fêtes, et bien sûr, une bonne dose de bonne humeur. Un rendez-vous incontournable pour rendre vos déplacements encore plus magiques pendant cette période de Noël !",x,votre-soiree-de-noel,,
La chanson bel RTL 2024 ,Le 31 décembre de 13h à 15h30,Charles Tavolieri ,bel,"Le 31 décembre, on remonte le classement sur bel RTL pour découvrir VOTRE titre préféré. 
Quelle est LA chanson qui vous a le plus fait vibrer cette année ? Pierre Garnier, Indochine, Sabrina Carpenter, Santa, Coldplay, Héléna ou Benson Boone … quel est l’artiste ou le groupe qui a interprété LA chanson de l’année 2024 ! A vous de le décider en votant pour vos chansons préférées. 
Pour participer, rendez-vous sur le site www.belrtl.be
",charles,votre-nouvel-an,,
En route pour le réveillon ,Le 31 décembre de 18h à 20h ,"Sophie Pendeville,Sandrine Corman",bel,"Qui de mieux que Sophie Pendeville et Sandrine Corman pour vous ambiancer à quelques heures du passage à l’an neuf ? Que vous soyez sur la route ou dans les derniers préparatifs, à la maison ou chez des amis, Sandrine et Sophie vous accompagnent avec leur humour et leur folie pour votre pré-réveillon de la Saint Sylvestre ! ",sophie,votre-nouvel-an,,
bel RTL dance party,Le 31 décembre de 20h à 1h ,,bel,"Paillettes, cotillons et bonne humeur, bel RTL fait vibrer votre soirée de réveillon ! Des tubes et que des tubes pour votre soirée de fête en mode Dance Party. 
Poussez les meubles, montez le son, bel RTL met de l’ambiance dans votre salon ! 

 ",x,votre-nouvel-an,,
La tête dans les étoiles ,Le 1er janvier de 9h à 12h ,"Fabrice Collignon,Patricia Millis ",bel,Que vous réservent les astres pour l’année à venir ? Quels événements pourraient marquer votre quotidien en 2025 ? Fabrice Collignon reçoit Patricia Millis qui vous dévoile ses prévisions pour les 12 signes du Zodiaque.,patricia,votre-nouvel-an,,
"Elvis, un Belge à Memphis",Bientôt disponible ,,tvi ,,x,tres-bientot,,
Appels d'urgence,Bientôt disponible ,,tvi ,,x,tres-bientot,,
Marié au premier regard ,Bientôt disponible ,,tvi ,,x,tres-bientot,,
Panda ,bientôt disponible ,julien doré ,tvi,,x,tres-bientot,,
